cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,axis,estimand,cutoff_mm,estimator,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity,panel
7,0.125,0.25,10.0,20.0,10/20,AP,T1,10.0,A2,0.00172744817969,0.0011343800434953,0.0020666144528177,0.0011773092519911,0.0015811382178671,0.0020444410715504,0.0008821380271185,-0.0642634481656142,0.0421170630154535,-0.0221463851501606,0.9455298993487272,0.50044,0.7020621852769563,0.9594843462246776,AP sensitivity 10 mm
8,0.125,0.5,10.0,40.0,10/40,AP,T1,10.0,A2,0.0021533938123934,0.0011951726953319,0.0024628322482299,0.0010678341667111,0.0015811261809229,0.002231061638433,0.0005464816174289,-0.2741633466135458,0.0687550200803212,-0.2054083265332245,0.9702719797596456,0.502,0.4889243027888446,0.9848995983935744,AP sensitivity 10 mm
9,0.25,0.1,20.0,8.0,20/8,AP,T1,10.0,A2,0.0018850656851492,0.0009810195489065,0.0021250581151262,0.0012613260538022,0.0015811378734949,0.0018718879153641,0.0010554622309567,0.1633596956652317,-0.0073519128958146,0.1560077827694171,0.9287070187663696,0.49945,0.773851236359996,0.9407252022774948,AP sensitivity 10 mm
10,0.25,0.25,20.0,20.0,20/20,AP,T1,10.0,A2,0.0018885664328111,0.0009309546236017,0.0021055544833479,0.0011109830028868,0.0015811369061532,0.0021413946735816,0.0007525525719843,0.0326108729618204,0.0225847677622908,0.0551956407241112,0.956551437396056,0.49922,0.6451864909258443,0.970785574503774,AP sensitivity 10 mm
11,0.25,0.5,20.0,40.0,20/40,AP,T1,10.0,A2,0.0021536584212233,0.0009705877376135,0.0023622627186051,0.0010640732168337,0.0015811109357031,0.0022116002552999,0.0004866047429335,-0.1756168359941944,0.0415467879202462,-0.1340700480739482,0.973763517106896,0.50297,0.4368451398691771,0.9880892501458663,AP sensitivity 10 mm
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,10.0,A3,0.0012249354663264,0.0013138138874451,0.0017962666359725,0.0016382112229408,0.0015811364365544,0.0010323985338457,0.0018744573207098,0.0815418828762045,-0.0955936670193862,-0.0140517841431816,0.8048909699911135,0.49913,0.9436219021096708,0.7720566214786272,AP sensitivity 10 mm
1,0.03,0.25,2.4,20.0,2.4/20,AP,T1,10.0,A3,0.0009898405637664,0.0010195205709707,0.001420987873386,0.0016085106722373,0.001581138160946,0.0012414716681847,0.0017587675005422,0.0516074788805701,-0.0550493545937737,-0.0034418757132036,0.8268427995735222,0.49954,0.9159426672538736,0.8085361467449946,AP sensitivity 10 mm
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,10.0,A3,0.0007501721447609,0.000787891622583,0.001087902319012,0.0015747721467076,0.0015811384202529,0.0013725502984333,0.0016616934546026,0.0289991206331441,-0.032043071011128,-0.0030439503779838,0.8442533288069103,0.50036,0.894635862179231,0.8347209991193659,AP sensitivity 10 mm
3,0.06,0.1,4.8,8.0,4.8/8,AP,T1,10.0,A3,0.0013446652701675,0.0013754618064727,0.0019235435710843,0.0016343602800206,0.0015811353436692,0.0010845717795293,0.0018508586453026,0.1002705681932057,-0.1060373216245883,-0.0057667534313826,0.8092148517249732,0.49895,0.937388515883355,0.7799221634567408,AP sensitivity 10 mm
4,0.06,0.25,4.8,20.0,4.8/20,AP,T1,10.0,A3,0.0011183935614078,0.001068065392315,0.0015464694760839,0.001587837950324,0.0015811370984199,0.0013127859288353,0.0017070834092135,0.06714063186484,-0.0606297320033649,0.006510899861475,0.8369733924611973,0.50074,0.9046011902384472,0.8232784521091215,AP sensitivity 10 mm
