u,view_over,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,K,beat_cv,s_det,f_rej
base,True,0.3,7.0,A5,AP,T1,0.0059835821938129,0.0528697199449727,0.0070725121746057,0.0042310527003486,-1.09163117336348,-9.657280861589877,2.1844789773340896,1.8921748299275976,c,,,,
base,True,0.3,10.0,A5,AP,T1,0.0059128752829917,0.052318120898072,0.0070298568399885,0.0041810551142415,-1.0723814683090949,-9.55942931853782,2.155499121479775,1.8698153414766447,c,,,,
base,True,0.3,13.0,A5,AP,T1,0.0058301948690351,0.0518820537709181,0.0069703902628942,0.00412259094054,-1.0773531240405634,-9.670198767233522,2.1353624947067344,1.8436694988778275,c,,,,
base,True,0.3,1.0,A6,AP,T1,0.0080236537461438,0.074767261551508,0.008691325894851,0.0056736083419037,-0.250277170490369,-2.3578818410603435,2.5496031508550585,2.5373020994357005,c,,,,
base,True,0.3,3.0,A6,AP,T1,0.0077299043078592,0.0726220829205106,0.0081782764179003,0.0054658950835541,-0.2420636919139693,-2.225967437773716,2.4563544411156317,2.444410370798257,c,,,,
base,True,0.3,5.0,A6,AP,T1,0.0077589663380738,0.0730687037451228,0.007677692349549,0.0054864451449444,-0.2502265760064172,-2.2942919809970297,2.466314862566733,2.453600591688937,c,,,,
base,True,0.3,7.0,A6,AP,T1,0.0078661583269027,0.0738643269470975,0.0079621481293193,0.005562241706118,-0.2493858110351111,-2.2720524626196186,2.499955217336705,2.4874976748512143,c,,,,
base,True,0.3,10.0,A6,AP,T1,0.0078540897633063,0.0738782606754663,0.0080745025114861,0.0055537079002906,-0.2474994470439559,-2.25577943966358,2.495970130143463,2.4836812599460747,c,,,,
base,True,0.3,13.0,A6,AP,T1,0.0078896526169018,0.0741951183148215,0.008149846605286,0.005578854760961,-0.2486170057845705,-2.284435833460832,2.5072714273659176,2.4949272216917784,c,,,,
base,True,0.3,1.0,A7,AP,T1,0.0062616139346541,0.0608211307254411,0.0060309125123158,0.0044276518126805,0.1833471077022163,1.6748610443330636,1.9885567280716971,1.9800961862155877,c,,,,
