rhythm_state,p_beat_cv,p_N_beats,p_data_mode,axis,estimator,estimand,metric,W,v_win,se_win,v_none,se_none,diff,mcse_diff,lo95,hi95,ratio
AF_rr0.1,0.05,1,prospective,SL,A1,T1,rmse_mm,0.25,1.62524,0.00416588,1.6323,0.00419013,-0.00706817,0.00590862,-0.0186491,0.00451272,0.99567
AF_rr0.1,0.05,1,prospective,SL,A1,T1,sd_err_mm,0.1,1.61477,0.00361076,1.61685,0.0036154,-0.00207836,0.00510967,-0.0120933,0.0079366,0.998715
AF_rr0.1,0.05,1,prospective,SL,A1,T1,sd_err_mm,0.15,1.60705,0.0035935,1.61685,0.0036154,-0.00979696,0.00509749,-0.019788,0.000194113,0.993941
AF_rr0.1,0.05,1,prospective,SL,A1,T1,sd_err_mm,0.2,1.60266,0.00358368,1.61685,0.0036154,-0.0141871,0.00509057,-0.0241646,-0.00420961,0.991225
AF_rr0.1,0.05,1,prospective,SL,A1,T1,sd_err_mm,0.25,1.60981,0.00359966,1.61685,0.0036154,-0.00704245,0.00510183,-0.017042,0.00295714,0.995644
AF_rr0.1,0.05,1,prospective,SL,A1,T2,bias_mm,0.1,0.0486886,0.00490239,0.0498294,0.00492556,-0.00114079,0.00694943,-0.0147617,0.0124801,0.977106
AF_rr0.1,0.05,1,prospective,SL,A1,T2,bias_mm,0.15,0.0491903,0.004889,0.0498294,0.00492556,-0.000639098,0.00693999,-0.0142415,0.0129633,0.987174
AF_rr0.1,0.05,1,prospective,SL,A1,T2,bias_mm,0.2,0.0476932,0.0048819,0.0498294,0.00492556,-0.00213616,0.00693499,-0.0157287,0.0114564,0.957131
AF_rr0.1,0.05,1,prospective,SL,A1,T2,bias_mm,0.25,0.0511179,0.00490607,0.0498294,0.00492556,0.00128849,0.00695203,-0.0123375,0.0149145,1.02586
AF_rr0.1,0.05,1,prospective,SL,A1,T2,relbias_pct,0.1,0.747096,0.087913,0.744919,0.0883976,0.00217664,0.124671,-0.242178,0.246532,1.00292
AF_rr0.1,0.05,1,prospective,SL,A1,T2,relbias_pct,0.15,0.753237,0.0879688,0.744919,0.0883976,0.00831746,0.12471,-0.236115,0.252749,1.01117
AF_rr0.1,0.05,1,prospective,SL,A1,T2,relbias_pct,0.2,0.709777,0.0876286,0.744919,0.0883976,-0.0351422,0.12447,-0.279104,0.20882,0.952824
AF_rr0.1,0.05,1,prospective,SL,A1,T2,relbias_pct,0.25,0.744374,0.0880524,0.744919,0.0883976,-0.000544719,0.124769,-0.245092,0.244003,0.999269
AF_rr0.1,0.05,1,prospective,SL,A1,T2,rmse_mm,0.1,1.55103,0.00382693,1.55839,0.00390218,-0.00735784,0.00546557,-0.0180704,0.00335467,0.995279
AF_rr0.1,0.05,1,prospective,SL,A1,T2,rmse_mm,0.15,1.54681,0.00383373,1.55839,0.00390218,-0.0115738,0.00547033,-0.0222956,-0.000851897,0.992573
AF_rr0.1,0.05,1,prospective,SL,A1,T2,rmse_mm,0.2,1.54452,0.00384763,1.55839,0.00390218,-0.0138649,0.00548008,-0.0246059,-0.00312397,0.991103
AF_rr0.1,0.05,1,prospective,SL,A1,T2,rmse_mm,0.25,1.55227,0.00387314,1.55839,0.00390218,-0.0061163,0.00549802,-0.0168924,0.00465982,0.996075
AF_rr0.1,0.05,1,prospective,SL,A1,T2,sd_err_mm,0.1,1.55027,0.00346653,1.5576,0.00348291,-0.00732541,0.00491401,-0.0169569,0.00230606,0.995297
AF_rr0.1,0.05,1,prospective,SL,A1,T2,sd_err_mm,0.15,1.54604,0.00345707,1.5576,0.00348291,-0.0115593,0.00490734,-0.0211777,-0.00194092,0.992579
AF_rr0.1,0.05,1,prospective,SL,A1,T2,sd_err_mm,0.2,1.54379,0.00345204,1.5576,0.00348291,-0.0138047,0.0049038,-0.0234161,-0.00419323,0.991137
AF_rr0.1,0.05,1,prospective,SL,A1,T2,sd_err_mm,0.25,1.55144,0.00346914,1.5576,0.00348291,-0.00616139,0.00491585,-0.0157965,0.00347367,0.996044
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,bias_mm,0.1,0.0156268,0.00430808,0.020719,0.0043324,-0.00509216,0.00610977,-0.0170673,0.00688298,0.754227
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,bias_mm,0.15,0.0198346,0.00430775,0.020719,0.0043324,-0.000884447,0.00610954,-0.0128591,0.0110902,0.957312
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,bias_mm,0.2,0.0137598,0.00429957,0.020719,0.0043324,-0.00695921,0.00610377,-0.0189226,0.00500418,0.664114
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,bias_mm,0.25,0.0171746,0.00430207,0.020719,0.0043324,-0.00354441,0.00610553,-0.0155113,0.00842243,0.828929
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,relbias_pct,0.1,0.2292,0.0823837,0.28245,0.0831377,-0.0532506,0.117043,-0.282654,0.176153,0.811469
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,relbias_pct,0.15,0.286763,0.0826769,0.28245,0.0831377,0.00431223,0.117249,-0.225496,0.23412,1.01527
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,relbias_pct,0.2,0.188358,0.0822334,0.28245,0.0831377,-0.094092,0.116937,-0.323288,0.135104,0.666873
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,relbias_pct,0.25,0.241806,0.0827208,0.28245,0.0831377,-0.0406443,0.11728,-0.270513,0.189225,0.856101
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,rmse_mm,0.1,1.36242,0.0031247,1.37018,0.003148,-0.00775942,0.0044355,-0.016453,0.000934155,0.994337
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,rmse_mm,0.15,1.36237,0.0031298,1.37018,0.003148,-0.00780882,0.00443909,-0.0165094,0.000891799,0.994301
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,rmse_mm,0.2,1.35971,0.00311449,1.37018,0.003148,-0.0104687,0.00442831,-0.0191482,-0.00178922,0.99236
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,rmse_mm,0.25,1.36054,0.00309555,1.37018,0.003148,-0.00964065,0.00441501,-0.0182941,-0.000987232,0.992964
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,sd_err_mm,0.1,1.36233,0.00304629,1.37003,0.00306349,-0.00769242,0.00432028,-0.0161602,0.000775328,0.994385
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,sd_err_mm,0.15,1.36223,0.00304605,1.37003,0.00306349,-0.00779659,0.00432012,-0.016264,0.000670837,0.994309
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,sd_err_mm,0.2,1.35964,0.00304027,1.37003,0.00306349,-0.0103817,0.00431604,-0.0188412,-0.00192229,0.992422
AF_rr0.1,0.05,1,prospective,SL,A1,Tv,sd_err_mm,0.25,1.36043,0.00304204,1.37003,0.00306349,-0.00959244,0.00431729,-0.0180543,-0.00113057,0.992998
AF_rr0.1,0.05,1,prospective,SL,A6,T1,bias_mm,0.1,-0.226268,0.00510636,-0.224137,0.00511293,-0.00213132,0.00722613,-0.0162945,0.0120319,1.00951
AF_rr0.1,0.05,1,prospective,SL,A6,T1,bias_mm,0.15,-0.223253,0.00508195,-0.224137,0.00511293,0.000884574,0.0072089,-0.0132449,0.015014,0.996053
AF_rr0.1,0.05,1,prospective,SL,A6,T1,bias_mm,0.2,-0.225135,0.00506807,-0.224137,0.00511293,-0.000998336,0.00719912,-0.0151086,0.0131119,1.00445
