cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,anchor_alpha,metric,value,mcse,n,test,lo95_mc,hi95_mc,nominal_outside_mc95
12,0.1,0.75,1.0,10,0.0,power_reject_f_variance,0.067,0.005590661857061291,2000,f_variance,0.05604250402398673,0.07795749597601329,True
12,0.1,0.75,1.0,10,0.0,power_reject_either_unadjusted,0.12,0.0072663608498339805,2000,either_unadjusted,0.10575819432331598,0.134241805676684,True
12,0.1,0.75,1.0,25,0.0,power_reject_welch_mean,0.0535,0.005031786462082826,2000,welch_mean,0.043637879678630295,0.0633621203213697,False
12,0.1,0.75,1.0,25,0.0,power_reject_f_variance,0.079,0.006031542091372653,2000,f_variance,0.06717839463642489,0.09082160536357511,True
12,0.1,0.75,1.0,25,0.0,power_reject_either_unadjusted,0.13,0.007519973404208289,2000,either_unadjusted,0.11526112284679431,0.14473887715320571,True
12,0.1,0.75,1.0,50,0.0,power_reject_welch_mean,0.054,0.005053909377897471,2000,welch_mean,0.04409451956005856,0.06390548043994143,False
12,0.1,0.75,1.0,50,0.0,power_reject_f_variance,0.0905,0.006415206543830058,2000,f_variance,0.07792642612152866,0.10307357387847134,True
12,0.1,0.75,1.0,50,0.0,power_reject_either_unadjusted,0.143,0.007827866886962246,2000,either_unadjusted,0.12765766270476192,0.15834233729523806,True
12,0.1,0.75,1.0,100,0.0,power_reject_welch_mean,0.0555,0.005119558086397693,2000,welch_mean,0.045465850454751634,0.06553414954524837,False
12,0.1,0.75,1.0,100,0.0,power_reject_f_variance,0.0845,0.006219314672855845,2000,f_variance,0.07231036713653077,0.09668963286346924,True
12,0.1,0.75,1.0,100,0.0,power_reject_either_unadjusted,0.137,0.007688660481514319,2000,either_unadjusted,0.12193050224800928,0.15206949775199075,True
13,0.1,0.75,2.0,10,0.0,power_reject_welch_mean,0.049,0.0048269555622566076,2000,welch_mean,0.03953934086837729,0.05846065913162271,False
13,0.1,0.75,2.0,10,0.0,power_reject_f_variance,0.064,0.005472842040475863,2000,f_variance,0.05327342662298077,0.07472657337701924,True
13,0.1,0.75,2.0,10,0.0,power_reject_either_unadjusted,0.113,0.0070792301841372555,2000,either_unadjusted,0.0991249636913776,0.1268750363086224,True
13,0.1,0.75,2.0,25,0.0,power_reject_welch_mean,0.0535,0.005031786462082826,2000,welch_mean,0.043637879678630295,0.0633621203213697,False
13,0.1,0.75,2.0,25,0.0,power_reject_f_variance,0.0815,0.006117914268768401,2000,f_variance,0.06950910827812762,0.09349089172187239,True
13,0.1,0.75,2.0,25,0.0,power_reject_either_unadjusted,0.1345,0.007629211951440331,2000,either_unadjusted,0.11954701922680722,0.1494529807731928,True
13,0.1,0.75,2.0,50,0.0,power_reject_welch_mean,0.0485,0.004803527349771208,2000,welch_mean,0.03908525932143302,0.05791474067856698,False
13,0.1,0.75,2.0,50,0.0,power_reject_f_variance,0.0745,0.005871530890662162,2000,f_variance,0.06299201082941422,0.08600798917058577,True
13,0.1,0.75,2.0,50,0.0,power_reject_either_unadjusted,0.1225,0.007331226022978693,2000,either_unadjusted,0.10813106091909859,0.13686893908090142,True
13,0.1,0.75,2.0,100,0.0,power_reject_welch_mean,0.0425,0.0045107510461119445,2000,welch_mean,0.03365909033665825,0.051340909663341754,False
13,0.1,0.75,2.0,100,0.0,power_reject_f_variance,0.073,0.005816829033072916,2000,f_variance,0.06159922450102227,0.08440077549897772,True
13,0.1,0.75,2.0,100,0.0,power_reject_either_unadjusted,0.1135,0.007092874946028584,2000,either_unadjusted,0.09959822044928203,0.12740177955071796,True
14,0.1,0.75,3.0,10,0.0,power_reject_welch_mean,0.0445,0.004610843198374892,2000,welch_mean,0.03546291332154035,0.05353708667845965,False
14,0.1,0.75,3.0,10,0.0,power_reject_f_variance,0.0415,0.004459694496263169,2000,f_variance,0.03275915933632606,0.050240840663673944,False
14,0.1,0.75,3.0,10,0.0,power_reject_either_unadjusted,0.086,0.0062691307212403855,2000,either_unadjusted,0.0737127294750748,0.09828727052492518,True
14,0.1,0.75,3.0,25,0.0,power_reject_welch_mean,0.0445,0.004610843198374892,2000,welch_mean,0.03546291332154035,0.05353708667845965,False
14,0.1,0.75,3.0,25,0.0,power_reject_f_variance,0.052,0.004964675215963275,2000,f_variance,0.04226941530501975,0.061730584694980245,False
14,0.1,0.75,3.0,25,0.0,power_reject_either_unadjusted,0.0945,0.0065410148295199574,2000,either_unadjusted,0.08167984641067474,0.10732015358932526,True
14,0.1,0.75,3.0,50,0.0,power_reject_welch_mean,0.0545,0.005075911248239078,2000,welch_mean,0.044551396686256343,0.06444860331374366,False
14,0.1,0.75,3.0,50,0.0,power_reject_f_variance,0.0605,0.005331029450303197,2000,f_variance,0.05005137419446594,0.07094862580553406,True
14,0.1,0.75,3.0,50,0.0,power_reject_either_unadjusted,0.114,0.0071064759198916595,2000,either_unadjusted,0.10007156303014547,0.12792843696985454,True
14,0.1,0.75,3.0,100,0.0,power_reject_welch_mean,0.0545,0.005075911248239078,2000,welch_mean,0.044551396686256343,0.06444860331374366,False
14,0.1,0.75,3.0,100,0.0,power_reject_f_variance,0.053,0.005009540897128199,2000,f_variance,0.043181480185101026,0.06281851981489897,False
14,0.1,0.75,3.0,100,0.0,power_reject_either_unadjusted,0.105,0.006854742883580682,2000,either_unadjusted,0.09156495071892568,0.11843504928107432,True
15,0.1,2.0,1.0,10,0.0,power_reject_welch_mean,0.0515,0.004942051699446294,2000,welch_mean,0.04181375658294644,0.06118624341705355,False
