rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,value,mcse,n
AF_rr0.1,0.15,0.2,7,prospective,AP,2e-05,1.4142e-05,100000
AF_rr0.1,0.15,0.2,7,prospective,SL,0.00097,9.84408e-05,100000
AF_rr0.1,0.15,0.2,7,retrospective,AP,0.9611,0.000611447,100000
AF_rr0.1,0.15,0.2,7,retrospective,SL,0.97432,0.000500205,100000
AF_rr0.1,0.15,0.2,10,prospective,AP,0.00055,7.41416e-05,100000
AF_rr0.1,0.15,0.2,10,prospective,SL,0.00905,0.000299468,100000
AF_rr0.1,0.15,0.2,10,retrospective,AP,0.99897,0.000101437,100000
AF_rr0.1,0.15,0.2,10,retrospective,SL,0.99934,8.12136e-05,100000
AF_rr0.1,0.15,0.2,13,prospective,AP,0.00463,0.000214676,100000
AF_rr0.1,0.15,0.2,13,prospective,SL,0.04445,0.000651722,100000
AF_rr0.1,0.15,0.2,13,retrospective,AP,0.99997,1.73202e-05,100000
AF_rr0.1,0.15,0.2,13,retrospective,SL,0.99999,9.99995e-06,100000
AF_rr0.1,0.15,0.25,1,prospective,AP,0,0,100000
AF_rr0.1,0.15,0.25,1,prospective,SL,0,0,100000
AF_rr0.1,0.15,0.25,1,retrospective,AP,0,0,100000
AF_rr0.1,0.15,0.25,1,retrospective,SL,0,0,100000
AF_rr0.1,0.15,0.25,3,prospective,AP,0,0,100000
AF_rr0.1,0.15,0.25,3,prospective,SL,0,0,100000
AF_rr0.1,0.15,0.25,3,retrospective,AP,0.28793,0.00143187,100000
AF_rr0.1,0.15,0.25,3,retrospective,SL,0.3352,0.00149279,100000
AF_rr0.1,0.15,0.25,5,prospective,AP,0,0,100000
AF_rr0.1,0.15,0.25,5,prospective,SL,0,0,100000
AF_rr0.1,0.15,0.25,5,retrospective,AP,0.72551,0.00141119,100000
AF_rr0.1,0.15,0.25,5,retrospective,SL,0.77821,0.00131377,100000
AF_rr0.1,0.15,0.25,7,prospective,AP,1e-05,9.99995e-06,100000
AF_rr0.1,0.15,0.25,7,prospective,SL,0.00046,6.78077e-05,100000
AF_rr0.1,0.15,0.25,7,retrospective,AP,0.94033,0.000749063,100000
AF_rr0.1,0.15,0.25,7,retrospective,SL,0.95674,0.00064334,100000
AF_rr0.1,0.15,0.25,10,prospective,AP,0.00012,3.46389e-05,100000
AF_rr0.1,0.15,0.25,10,prospective,SL,0.0035,0.000186755,100000
AF_rr0.1,0.15,0.25,10,retrospective,AP,0.99711,0.000169754,100000
AF_rr0.1,0.15,0.25,10,retrospective,SL,0.99831,0.00012989,100000
AF_rr0.1,0.15,0.25,13,prospective,AP,0.00136,0.00011654,100000
AF_rr0.1,0.15,0.25,13,prospective,SL,0.0182,0.000422715,100000
AF_rr0.1,0.15,0.25,13,retrospective,AP,0.99989,3.31644e-05,100000
AF_rr0.1,0.15,0.25,13,retrospective,SL,0.99998,1.4142e-05,100000
AF_rr0.1,0.2,0,1,prospective,AP,0,0,100000
AF_rr0.1,0.2,0,1,prospective,SL,0,0,100000
