p_beat_cv,p_view_over,ai,ref,m,apparent,true,diff,mcse_diff
0.1,True,independent,adj_tol3,icc,0.8523483036189027,0.9088718961936321,-0.056523592574729394,0.0003274534602996071
0.1,True,independent,adj_tol3,loa_width,10.023106601429166,7.8218032540716536,2.2013033473575123,0.020377542304381963
0.1,True,independent,adj_tol3,mae,2.04437693061875,1.5932196679775235,0.45115726264122635,0.002367009689804813
0.1,True,independent,mean2,icc,0.8533346911822728,0.9088718961936321,-0.05553720501135933,0.0003228855299527873
0.1,True,independent,mean2,loa_width,9.989045411496756,7.8218032540716536,2.167242157425102,0.02023510126228559
0.1,True,independent,mean2,mae,2.038477871799947,1.5932196679775235,0.44525820382242376,0.0023425396422014676
0.1,True,independent,single,icc,0.8427475309031556,0.9088718961936321,-0.06612436529047656,0.00037752800408946777
0.1,True,independent,single,loa_width,10.41852321479743,7.8218032540716536,2.5967199607257756,0.021301869218975096
0.1,True,independent,single,mae,2.1245946876161743,1.5932196679775235,0.5313750196386511,0.002685127107575202
0.1,True,inherited,adj_tol1,icc,0.8452447549620327,0.9053511512607622,-0.060106396298729534,0.00035735147337165096
0.1,True,inherited,adj_tol1,loa_width,10.206763946562251,7.83287085341405,2.373893093148202,0.021480723739380793
0.1,True,inherited,adj_tol1,mae,2.0761530554400407,1.6058745843262157,0.47027847111382526,0.0025336192377676215
0.1,True,inherited,adj_tol2,icc,0.8487312362193066,0.9053511512607622,-0.05661991504145564,0.00033354842672447344
0.1,True,inherited,adj_tol2,loa_width,10.069081268715346,7.83287085341405,2.236210415301295,0.02093357693666199
0.1,True,inherited,adj_tol2,mae,2.047538624844633,1.6058745843262157,0.44166404051841757,0.0024025842471998194
0.1,True,inherited,adj_tol3,icc,0.8502571523750386,0.9053511512607622,-0.05509399888572369,0.00032204485488152815
0.1,True,inherited,adj_tol3,loa_width,10.01140068047995,7.83287085341405,2.1785298270658986,0.020425081731068245
0.1,True,inherited,adj_tol3,mae,2.035002774921943,1.6058745843262157,0.4291281905957273,0.0023143642736727925
0.1,True,inherited,mean2,icc,0.8512451772038161,0.9053511512607622,-0.054105974056946164,0.0003177874997251673
