cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,AP,T2,A2,0.005692385058670346,0.041885126649788836,0.005572621089529395,0.00402514420188211,-0.27743423850620813,-1.874125158006117,1.821335257185015,1.8000902104109506
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,AP,T2,A3,0.005783985780219096,0.04318195674788221,0.005916113934049119,0.004089916017110697,0.3571662929808038,3.078658392222361,1.8635942307615718,1.8290569019518423
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,AP,T2,A4,0.005783097736810127,0.04317813046985654,0.005907919529029922,0.0040892880724544955,0.3559695826464816,3.072103205059567,1.8630895960473608,1.8287760779684978
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,AP,T2,A5,0.005692385058670346,0.041885126649788836,0.005572621089529395,0.00402514420188211,-0.27743423850620813,-1.874125158006117,1.821335257185015,1.8000902104109506
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,AP,T2,A6,0.006583879875244932,0.0502347235263156,0.006215266226400313,0.004655529384008447,0.09081854165395727,0.7244216542661945,2.0839750673171364,2.0820056246719227
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,AP,T2,A7,0.005867550134679806,0.04342380497516706,0.006329558779197756,0.004149005234262166,0.45496826570281335,3.487412698149005,1.9104387331056039,1.855482271081592
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T1,A1,0.004519157508720182,0.05625606438572389,0.003932336585633961,0.0031955428974205767,-0.10821284689412546,-0.8328286616664525,1.433167141791404,1.429083083260802
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T1,A2,0.004292494108577711,0.051490692322300934,0.003954449048407742,0.0030352668687508894,-0.35716707839948225,-3.565936562530212,1.403602672982702,1.357405822595968
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T1,A3,0.004366905524989046,0.054222152376584086,0.003922062646145492,0.003087883948979099,0.15242658731929623,2.7776209925705486,1.3893168037117845,1.380936778573873
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T1,A4,0.004366546522802155,0.0542149196370595,0.0039219784717427755,0.003087630094829013,0.15216373715127504,2.774729329622268,1.3891751472564091,1.3808232521143171
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T1,A5,0.004292494108577711,0.051490692322300934,0.003954449048407742,0.0030352668687508894,-0.35716707839948225,-3.565936562530212,1.403602672982702,1.357405822595968
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T1,A6,0.00520950499218857,0.0663277242287172,0.004401080871543046,0.003683694725121383,-0.15463204988198487,-1.6208862715269723,1.654623267777957,1.6473901257333565
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T1,A7,0.004342998841166068,0.05340430378804439,0.0039833105276848545,0.0030709792862086633,0.11700194981247154,1.7128925771724146,1.3783448364099484,1.3733768213556619
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T2,A1,0.004470640578883765,0.05737644415654571,0.0039685073450944925,0.003161236075796358,0.10748579680770436,1.6008615905073194,1.417813784826632,1.4137406829246364
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T2,A2,0.004242922985087367,0.05271756820422391,0.003851644401213019,0.0030002146159181287,-0.14146843469765244,-1.186945930703326,1.3491607989259902,1.3417300569556716
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T2,A3,0.004333479953282032,0.05550273869594271,0.004060884443086272,0.003064248382381903,0.3681252310211261,5.31228115641031,1.4189440641602389,1.3703666847051281
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T2,A4,0.004333054285401677,0.05549458375954461,0.004060839722795706,0.003063947388232197,0.3678623808531049,5.30928380983714,1.4187458898306133,1.3702320767022587
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,T2,A5,0.004242922985087367,0.05271756820422391,0.003851644401213019,0.0030002146159181287,-0.14146843469765244,-1.186945930703326,1.3491607989259902,1.3417300569556716
