p_beat_cv,p_view_over,sigma_ai_mm,ref,m,apparent_min,apparent_max,mcse_apparent_max,range_over_max_mcse
0.05,True,2.0,adj_tol3,mae,1.9918183948744408,1.9947018865686892,0.002620569696992862,1.1003300914138026
0.05,True,2.0,mean2,ba_bias,-0.09514430339941705,-0.08494884629904359,0.009158347784948378,1.1132419667584106
0.05,True,2.0,mean2,icc,0.8575442525803759,0.859164792492345,0.0005280866722653277,3.068700645326789
0.05,True,2.0,mean2,mae,1.9883563650053913,1.990405901482497,0.0026033042717889822,0.7872827234664287
0.05,True,2.0,single,ba_bias,-0.09452203993209608,-0.08314760699527267,0.009190763011916068,1.2375939758294452
0.05,True,2.0,single,icc,0.8483455395278684,0.8498469698392209,0.0005778161227070447,2.5984569352588953
0.05,True,2.0,single,mae,2.0657407790015405,2.066357599960754,0.0029333053984628163,0.21028187502627263
0.05,True,3.0,adj_tol1,ba_bias,-0.0941075238383669,-0.08501522589793041,0.010197432171557734,0.8916262238837305
0.05,True,3.0,adj_tol1,icc,0.7670291090577347,0.7698825868840364,0.0008021504765837156,3.5572849603660894
0.05,True,3.0,adj_tol1,mae,2.702991082728076,2.7086667861328872,0.0034485699880643485,1.6458136051914969
0.05,True,3.0,adj_tol2,ba_bias,-0.09430641743858806,-0.08502825317574021,0.01002086385880467,0.9258846735748972
0.05,True,3.0,adj_tol2,icc,0.7696142454185454,0.7719728249916806,0.000788024121972191,2.993029664158512
0.05,True,3.0,adj_tol2,mae,2.686614015031637,2.688563979785554,0.003360020321358331,0.5803431430226164
0.05,True,3.0,adj_tol3,ba_bias,-0.09414574141560599,-0.08156040467965403,0.009861057268644375,1.2762664685023266
0.05,True,3.0,adj_tol3,icc,0.7704353434351927,0.772860864614392,0.0007818785019480668,3.102171466738138
0.05,True,3.0,adj_tol3,mae,2.679676197186014,2.6816907202089078,0.003319597933259673,0.6068575361823071
0.05,True,3.0,mean2,ba_bias,-0.09549181566958505,-0.08276165171531229,0.009836286514284824,1.2942042645652179
0.05,True,3.0,mean2,icc,0.7711004804746262,0.7734423798614621,0.0007790130237446672,3.0062390684799696
0.05,True,3.0,mean2,mae,2.67707281838152,2.678653930764187,0.0033127886868865915,0.47727535080209355
0.05,True,3.0,single,ba_bias,-0.09486955220226406,-0.08096041241154137,0.009916137589646209,1.4026771678970775
0.05,True,3.0,single,icc,0.7636577444413291,0.7658735732580131,0.0008131506042676726,2.7249919080852374
0.05,True,3.0,single,mae,2.7345008628153655,2.736023353849476,0.0035221473113529796,0.43226216836610476
0.15,False,1.0,adj_tol1,ba_bias,-0.26358255914390877,-0.25892350742748055,0.008975741900332247,0.5190714893724562
0.15,False,1.0,adj_tol1,icc,0.9027709658623516,0.9031484776732834,0.0003940108894779149,0.9581253234702262
0.15,False,1.0,adj_tol1,mae,1.584470844436591,1.586994088194255,0.0027615884111000426,0.9136929122102614
0.15,False,1.0,adj_tol2,ba_bias,-0.2619656014341834,-0.2604093759308574,0.00892093374793868,0.1744464814219256
0.15,False,1.0,adj_tol2,icc,0.9066073922675805,0.9068825903683019,0.0003744941628737326,0.7348528441929165
0.15,False,1.0,adj_tol2,mae,1.5467856148024774,1.5495342541066952,0.0026005284790048253,1.056954125443615
