K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_min,bias_min_mcse,bias_min_combo,bias_max,bias_max_mcse,bias_max_combo,bias_range,bias_range_mcse,maxabs_bias,maxabs_bias_mcse,maxabs_bias_combo,maxabs_argmax_clear,rmse_min,rmse_max,rmse_max_mcse,rmse_max_combo,mean_abs_bias
2,0.05,False,0.0,10.0,SL,T2,A2,-1.2220253322417576,0.004977203757376277,2.4/40,0.4481662104292979,0.0039648141272266265,20/8,1.6701915426710554,0.006363356685421332,1.2220253322417576,0.004977203757376277,2.4/40,True,1.1578828277462956,1.9926306392122421,0.005636267779261506,2.4/40,0.507735440712641
2,0.05,False,0.0,10.0,SL,T2,A3,0.1060417970960624,0.0038562713896187384,2.4/40,1.0889180607188123,0.00502837203170115,20/8,0.9828762636227498,0.006336825255566575,1.0889180607188123,0.00502837203170115,20/8,True,1.212591912386947,1.9272181473185033,0.006451984858339089,20/8,0.3731006337005219
2,0.05,False,0.0,10.0,SL,T2,A4,0.1060417970960624,0.0038562713896187384,2.4/40,1.0569717435936792,0.004958811677985967,20/8,0.9509299464976168,0.006281770633199054,1.0569717435936792,0.004958811677985967,20/8,True,1.2125521089619968,1.891070068166488,0.0063492777140364675,20/8,0.3675282711589411
2,0.05,False,0.0,10.0,SL,T2,A5,-1.2220253322417576,0.004977203757376277,2.4/40,0.4481662104292979,0.0039648141272266265,20/8,1.6701915426710554,0.006363356685421332,1.2220253322417576,0.004977203757376277,2.4/40,True,1.1578828277462956,1.9926306392122421,0.005636267779261506,2.4/40,0.507735440712641
2,0.05,False,0.0,10.0,SL,T2,A6,0.032290709286237576,0.004520049190239086,20/8,0.0463349767719134,0.004724392518253756,4.8/40,0.014044267485675825,0.006538404189763209,0.0463349767719134,0.004724392518253756,4.8/40,False,1.4297226050110656,1.513625584351203,0.0036622300316433375,2.4/8,0.03978654872145001
2,0.05,False,0.0,10.0,SL,T2,A7,0.20769778108789302,0.003827756993877188,2.4/8,1.4306542779224334,0.008099654973713054,20/40,1.2229564968345403,0.008958578810133355,1.4306542779224334,0.008099654973713054,20/40,False,1.2281270605938146,2.9337939818341927,0.011116575460917103,20/40,0.6882258436289161
2,0.05,False,0.0,13.0,AP,T1,A1,-2.743445549674218,0.009656580195827467,20/8,-0.24667252002820306,0.00583274424845438,2.4/8,2.496773029646015,0.011281420413508438,2.743445549674218,0.009656580195827467,20/8,False,1.8608879219392453,4.106782308270668,0.01343553699049005,20/20,1.227970887493482
2,0.05,False,0.0,13.0,AP,T1,A2,-4.049631449096738,0.010384153670819917,20/40,-0.6454614149435585,0.005692198786130358,2.4/8,3.4041700341531795,0.011841949775270401,4.049631449096738,0.010384153670819917,20/40,True,1.912250176921501,5.213681212807911,0.013702893613375665,20/40,2.138494318163431
2,0.05,False,0.0,13.0,AP,T1,A3,-2.068427021826702,0.008602326486498302,20/40,-0.02934439217440996,0.005755944551472438,2.4/8,2.039082629652292,0.010350406690557404,2.068427021826702,0.008602326486498302,20/40,True,1.820416911154401,3.4173554750176227,0.0115400151182611,20/40,0.7072342075619492
2,0.05,False,0.0,13.0,AP,T1,A4,-2.1044276200349925,0.008696352337909266,20/40,-0.03014564009886064,0.005755372343125838,2.4/8,2.074281979936132,0.010428367791417684,2.1044276200349925,0.008696352337909266,20/40,True,1.8202490807875564,3.462830400110313,0.011664697033748717,20/40,0.7311351571647705
2,0.05,False,0.0,13.0,AP,T1,A5,-4.049631449096738,0.010384153670819917,20/40,-0.6454614149435585,0.005692198786130358,2.4/8,3.4041700341531795,0.011841949775270401,4.049631449096738,0.010384153670819917,20/40,True,1.912250176921501,5.213681212807911,0.013702893613375665,20/40,2.138494318163431
2,0.05,False,0.0,13.0,AP,T1,A6,-2.74550668949593,0.010132854687054046,20/20,-0.2456970366809237,0.006693771112053498,2.4/20,2.499809652815006,0.01214418856118082,2.74550668949593,0.010132854687054046,20/20,False,2.1268014575146723,4.219618314281294,0.013473618361358361,20/20,1.2286440997339156
2,0.05,False,0.0,13.0,AP,T1,A7,0.07810807657189886,0.007858160589849868,2.4/40,0.09511788580230013,0.00576612857543456,4.8/8,0.017009809230401268,0.009746739280616498,0.09511788580230013,0.00576612857543456,4.8/8,False,1.8096865562301574,2.550283781199952,0.009765670034856466,20/40,0.0878453308894152
2,0.05,False,0.0,13.0,AP,T2,A1,0.06722643865380183,0.005099279751166081,20/8,0.0917809907739541,0.005762706168141099,2.4/8,0.02455455212015227,0.007694896773900471,0.0917809907739541,0.005762706168141099,2.4/8,False,1.6092030360249099,1.835396328185674,0.005465554416630294,2.4/40,0.08006212724466219
2,0.05,False,0.0,13.0,AP,T2,A2,-2.472965917458272,0.008744178480997967,2.4/40,0.9192907584754001,0.006466162801036219,20/8,3.392256675933672,0.010875289360612548,2.472965917458272,0.008744178480997967,2.4/40,True,1.7899527759434075,3.709656277744303,0.010584383293007692,2.4/40,1.029775287015897
