cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,w_anchor,metric,value,mcse,n,test,mci_lo,mci_hi
1,0.05,0.0,2.0,10,0.3,power_reject_either_unadjusted,0.5335,0.011155217389186104,2000,either_unadjusted,0.5116361755050213,0.5553638244949787
1,0.05,0.0,2.0,10,0.5,power_reject_either_unadjusted,0.912,0.0063346665263453285,2000,either_unadjusted,0.8995842816563582,0.9244157183436419
1,0.05,0.0,2.0,25,0.0,power_reject_either_unadjusted,0.107,0.0069119823495145,2000,either_unadjusted,0.09345276342631616,0.12054723657368384
1,0.05,0.0,2.0,25,0.1,power_reject_either_unadjusted,0.2495,0.009675994780899791,2000,either_unadjusted,0.23053539856524852,0.2684646014347515
1,0.05,0.0,2.0,25,0.2,power_reject_either_unadjusted,0.5145,0.011175637565705145,2000,either_unadjusted,0.49259615269417023,0.5364038473058297
1,0.05,0.0,2.0,25,0.3,power_reject_either_unadjusted,0.805,0.00885931712944062,2000,either_unadjusted,0.787636057361713,0.822363942638287
1,0.05,0.0,2.0,25,0.5,power_reject_either_unadjusted,0.9975,0.001116635571706353,2000,either_unadjusted,0.9953114344783361,0.999688565521664
1,0.05,0.0,2.0,50,0.0,power_reject_either_unadjusted,0.103,0.0067967271535644275,2000,either_unadjusted,0.08967865946119125,0.11632134053880874
1,0.05,0.0,2.0,50,0.1,power_reject_either_unadjusted,0.3225,0.010452122990091534,2000,either_unadjusted,0.30201421521584826,0.34298578478415176
1,0.05,0.0,2.0,50,0.2,power_reject_either_unadjusted,0.718,0.010061709596286309,2000,either_unadjusted,0.6982794114128242,0.7377205885871757
1,0.05,0.0,2.0,50,0.3,power_reject_either_unadjusted,0.9465,0.005031786462082825,2000,either_unadjusted,0.9366378796786303,0.9563621203213697
1,0.05,0.0,2.0,50,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted,1.0,1.0
1,0.05,0.0,2.0,100,0.0,power_reject_either_unadjusted,0.109,0.006968464680257768,2000,either_unadjusted,0.09534206009142326,0.12265793990857674
1,0.05,0.0,2.0,100,0.1,power_reject_either_unadjusted,0.424,0.011050429855892486,2000,either_unadjusted,0.40234155529792553,0.44565844470207444
1,0.05,0.0,2.0,100,0.2,power_reject_either_unadjusted,0.8755,0.007382403064043579,2000,either_unadjusted,0.8610307557609849,0.889969244239015
1,0.05,0.0,2.0,100,0.3,power_reject_either_unadjusted,0.995,0.0015771810295587513,2000,either_unadjusted,0.9919087819605819,0.9980912180394181
1,0.05,0.0,2.0,100,0.5,power_reject_either_unadjusted,1.0,0.0,2000,either_unadjusted,1.0,1.0
1,0.05,0.0,2.0,10,0.0,power_reject_f_variance,0.0555,0.005119558086397693,2000,f_variance,0.045465850454751634,0.06553414954524837
1,0.05,0.0,2.0,10,0.1,power_reject_f_variance,0.1315,0.007556710593902615,2000,f_variance,0.11668911927753225,0.14631088072246776
1,0.05,0.0,2.0,10,0.2,power_reject_f_variance,0.265,0.009868510525910179,2000,f_variance,0.245658074635595,0.28434192536440506
1,0.05,0.0,2.0,10,0.3,power_reject_f_variance,0.4755,0.011166909823223253,2000,f_variance,0.45361325875523606,0.4973867412447639
1,0.05,0.0,2.0,10,0.5,power_reject_f_variance,0.885,0.007133547504573023,2000,f_variance,0.871018503698747,0.898981496301253
1,0.05,0.0,2.0,25,0.0,power_reject_f_variance,0.058,0.0052266624149642565,2000,f_variance,0.047755929826516996,0.06824407017348301
1,0.05,0.0,2.0,25,0.1,power_reject_f_variance,0.195,0.008859317129440622,2000,f_variance,0.17763605736171306,0.21236394263828695
1,0.05,0.0,2.0,25,0.2,power_reject_f_variance,0.461,0.01114627740548386,2000,f_variance,0.43915369755123823,0.4828463024487618
1,0.05,0.0,2.0,25,0.3,power_reject_f_variance,0.767,0.009452803816857726,2000,f_variance,0.7484728448198963,0.7855271551801037
1,0.05,0.0,2.0,25,0.5,power_reject_f_variance,0.9955,0.0014966211945579198,2000,f_variance,0.9925666763370296,0.9984333236629706
1,0.05,0.0,2.0,50,0.0,power_reject_f_variance,0.0565,0.005162739098579358,2000,f_variance,0.04638121722539201,0.06661878277460799
1,0.05,0.0,2.0,50,0.1,power_reject_f_variance,0.2695,0.009921435128044732,2000,f_variance,0.25005434432069695,0.2889456556793031
1,0.05,0.0,2.0,50,0.2,power_reject_f_variance,0.675,0.010473180032826705,2000,f_variance,0.6544729441701409,0.6955270558298592
1,0.05,0.0,2.0,50,0.3,power_reject_f_variance,0.9305,0.005686376262612245,2000,f_variance,0.9193549072348255,0.9416450927651745
1,0.05,0.0,2.0,50,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance,1.0,1.0
1,0.05,0.0,2.0,100,0.0,power_reject_f_variance,0.063,0.005432816948876522,2000,f_variance,0.05235187436161218,0.07364812563838782
1,0.05,0.0,2.0,100,0.1,power_reject_f_variance,0.3785,0.010845223603042953,2000,f_variance,0.3572437521660855,0.3997562478339145
1,0.05,0.0,2.0,100,0.2,power_reject_f_variance,0.8525,0.007929178709046731,2000,f_variance,0.836959095180702,0.8680409048192981
1,0.05,0.0,2.0,100,0.3,power_reject_f_variance,0.9935,0.0017969070649312877,2000,f_variance,0.9899781268413891,0.997021873158611
1,0.05,0.0,2.0,100,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance,1.0,1.0
1,0.05,0.0,2.0,10,0.0,power_reject_welch_mean,0.054,0.005053909377897471,2000,welch_mean,0.04409451956005856,0.06390548043994143
1,0.05,0.0,2.0,10,0.1,power_reject_welch_mean,0.0545,0.005075911248239078,2000,welch_mean,0.044551396686256343,0.06444860331374366
1,0.05,0.0,2.0,10,0.2,power_reject_welch_mean,0.0605,0.005331029450303197,2000,welch_mean,0.05005137419446594,0.07094862580553406
1,0.05,0.0,2.0,10,0.3,power_reject_welch_mean,0.0675,0.005609979946488223,2000,welch_mean,0.05650464126416116,0.07849535873583885
1,0.05,0.0,2.0,10,0.5,power_reject_welch_mean,0.09,0.006399218702310462,2000,welch_mean,0.07745776171534477,0.10254223828465522
1,0.05,0.0,2.0,25,0.0,power_reject_welch_mean,0.0505,0.00489641450451246,2000,welch_mean,0.04090320384207774,0.060096796157922266
1,0.05,0.0,2.0,25,0.1,power_reject_welch_mean,0.058,0.0052266624149642565,2000,welch_mean,0.047755929826516996,0.06824407017348301
1,0.05,0.0,2.0,25,0.2,power_reject_welch_mean,0.07,0.005705260730238366,2000,welch_mean,0.0588178943581191,0.08118210564188091
1,0.05,0.0,2.0,25,0.3,power_reject_welch_mean,0.085,0.0062359842847781455,2000,welch_mean,0.07277769529726909,0.09722230470273092
1,0.05,0.0,2.0,25,0.5,power_reject_welch_mean,0.1575,0.00814535910810567,2000,welch_mean,0.14153538938104077,0.17346461061895924
1,0.05,0.0,2.0,50,0.0,power_reject_welch_mean,0.0495,0.004850244839180801,2000,welch_mean,0.03999369472401984,0.059006305275980164
1,0.05,0.0,2.0,50,0.1,power_reject_welch_mean,0.0595,0.005289600646551685,2000,welch_mean,0.04913257315838197,0.06986742684161802
1,0.05,0.0,2.0,50,0.2,power_reject_welch_mean,0.087,0.006302023484564303,2000,welch_mean,0.0746482608430994,0.09935173915690058
