cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,inflation,inflation_mcse,n
76,0.03,0.25,2.4,20.0,2.4/20,2,0.05,True,0.0,10.0,SL,0.178133646168865,0.0014947141946830332,100000
77,0.03,0.25,2.4,20.0,2.4/20,2,0.05,True,0.0,13.0,AP,0.2230755948944341,0.002365508146220492,100000
77,0.03,0.25,2.4,20.0,2.4/20,2,0.05,True,0.0,13.0,SL,0.18773506436081352,0.0017310517905397903,100000
78,0.03,0.25,2.4,20.0,2.4/20,2,0.05,True,0.15,10.0,AP,0.21430731440759676,0.0020140078412261998,100000
78,0.03,0.25,2.4,20.0,2.4/20,2,0.05,True,0.15,10.0,SL,0.20800806749402462,0.0016283733200252164,100000
79,0.03,0.25,2.4,20.0,2.4/20,2,0.05,True,0.15,13.0,AP,0.2328693290460547,0.0024012633168353976,100000
79,0.03,0.25,2.4,20.0,2.4/20,2,0.05,True,0.15,13.0,SL,0.2113801912788934,0.0018357285407925947,100000
80,0.03,0.25,2.4,20.0,2.4/20,2,0.15,False,0.0,10.0,AP,0.21148245544907263,0.0019089023306830314,100000
80,0.03,0.25,2.4,20.0,2.4/20,2,0.15,False,0.0,10.0,SL,0.17873186103496777,0.0014753371327426623,100000
81,0.03,0.25,2.4,20.0,2.4/20,2,0.15,False,0.0,13.0,AP,0.24600971649973014,0.002308774662854355,100000
81,0.03,0.25,2.4,20.0,2.4/20,2,0.15,False,0.0,13.0,SL,0.19051741015085044,0.0016856272453147146,100000
82,0.03,0.25,2.4,20.0,2.4/20,2,0.15,False,0.15,10.0,AP,0.2676277198858564,0.002274037723036125,100000
82,0.03,0.25,2.4,20.0,2.4/20,2,0.15,False,0.15,10.0,SL,0.23434892588281908,0.0017920418854300863,100000
83,0.03,0.25,2.4,20.0,2.4/20,2,0.15,False,0.15,13.0,AP,0.31283635207932925,0.0027740744135077086,100000
83,0.03,0.25,2.4,20.0,2.4/20,2,0.15,False,0.15,13.0,SL,0.2514374534644796,0.0020571805456166014,100000
84,0.03,0.25,2.4,20.0,2.4/20,2,0.15,True,0.0,10.0,AP,0.304495045402083,0.002644753689137806,100000
84,0.03,0.25,2.4,20.0,2.4/20,2,0.15,True,0.0,10.0,SL,0.2413679924388789,0.0019377078192496368,100000
85,0.03,0.25,2.4,20.0,2.4/20,2,0.15,True,0.0,13.0,AP,0.3648151560740824,0.003297546415967665,100000
85,0.03,0.25,2.4,20.0,2.4/20,2,0.15,True,0.0,13.0,SL,0.27475835231594603,0.0023276295091270304,100000
86,0.03,0.25,2.4,20.0,2.4/20,2,0.15,True,0.15,10.0,AP,0.36428468126119967,0.002984238962149678,100000
86,0.03,0.25,2.4,20.0,2.4/20,2,0.15,True,0.15,10.0,SL,0.2950780980029017,0.00219924491223137,100000
87,0.03,0.25,2.4,20.0,2.4/20,2,0.15,True,0.15,13.0,AP,0.4376373997648535,0.0037075645307141154,100000
87,0.03,0.25,2.4,20.0,2.4/20,2,0.15,True,0.15,13.0,SL,0.33177881182816477,0.002625672447961235,100000
88,0.03,0.25,2.4,20.0,2.4/20,2,0.3,False,0.0,10.0,AP,0.4937369211846942,0.003945784323441885,100000
88,0.03,0.25,2.4,20.0,2.4/20,2,0.3,False,0.0,10.0,SL,0.3520801177367069,0.0026948701824673882,100000
89,0.03,0.25,2.4,20.0,2.4/20,2,0.3,False,0.0,13.0,AP,0.6312613113906751,0.005116023146211474,100000
89,0.03,0.25,2.4,20.0,2.4/20,2,0.3,False,0.0,13.0,SL,0.43040656815158496,0.0033866385802823755,100000
90,0.03,0.25,2.4,20.0,2.4/20,2,0.3,False,0.15,10.0,AP,0.6213193273571752,0.004705880942955962,100000
90,0.03,0.25,2.4,20.0,2.4/20,2,0.3,False,0.15,10.0,SL,0.4367130644941891,0.003167886298994329,100000
91,0.03,0.25,2.4,20.0,2.4/20,2,0.3,False,0.15,13.0,AP,0.7841623134475324,0.006102174684171492,100000
91,0.03,0.25,2.4,20.0,2.4/20,2,0.3,False,0.15,13.0,SL,0.5325297191200697,0.003983755735617115,100000
92,0.03,0.25,2.4,20.0,2.4/20,2,0.3,True,0.0,10.0,AP,0.6103352164310667,0.004700999470816075,100000
92,0.03,0.25,2.4,20.0,2.4/20,2,0.3,True,0.0,10.0,SL,0.42443798156391743,0.003153139733642235,100000
93,0.03,0.25,2.4,20.0,2.4/20,2,0.3,True,0.0,13.0,AP,0.7616666600024111,0.005957580075130401,100000
93,0.03,0.25,2.4,20.0,2.4/20,2,0.3,True,0.0,13.0,SL,0.5187420215249569,0.003990970874733872,100000
94,0.03,0.25,2.4,20.0,2.4/20,2,0.3,True,0.15,10.0,AP,0.7265409429489431,0.005265570320598251,100000
94,0.03,0.25,2.4,20.0,2.4/20,2,0.3,True,0.15,10.0,SL,0.5126295166176216,0.0035926962643297155,100000
95,0.03,0.25,2.4,20.0,2.4/20,2,0.3,True,0.15,13.0,AP,0.9258398398554961,0.0068499268631502476,100000
95,0.03,0.25,2.4,20.0,2.4/20,2,0.3,True,0.15,13.0,SL,0.627650088185892,0.004602243023741745,100000
96,0.03,0.25,2.4,20.0,2.4/20,3,0.05,False,0.0,10.0,AP,0.18119809718444063,0.0013092431758997523,100000
96,0.03,0.25,2.4,20.0,2.4/20,3,0.05,False,0.0,10.0,SL,0.2070173098189579,0.0013079107005895374,100000
97,0.03,0.25,2.4,20.0,2.4/20,3,0.05,False,0.0,13.0,AP,0.18250003216730185,0.0014100151018848377,100000
97,0.03,0.25,2.4,20.0,2.4/20,3,0.05,False,0.0,13.0,SL,0.19321443365518665,0.0013138534150896265,100000
98,0.03,0.25,2.4,20.0,2.4/20,3,0.05,False,0.15,10.0,AP,0.2137518124590747,0.0014763085745843796,100000
98,0.03,0.25,2.4,20.0,2.4/20,3,0.05,False,0.15,10.0,SL,0.2578592528336046,0.0015275400476240798,100000
99,0.03,0.25,2.4,20.0,2.4/20,3,0.05,False,0.15,13.0,AP,0.20610110827572464,0.0015271118836985606,100000
99,0.03,0.25,2.4,20.0,2.4/20,3,0.05,False,0.15,13.0,SL,0.23090260856938788,0.001495340625832972,100000
100,0.03,0.25,2.4,20.0,2.4/20,3,0.05,True,0.0,10.0,AP,0.35246974512819446,0.0025236452132219203,100000
100,0.03,0.25,2.4,20.0,2.4/20,3,0.05,True,0.0,10.0,SL,0.31246630230825845,0.0019273650754706823,100000
101,0.03,0.25,2.4,20.0,2.4/20,3,0.05,True,0.0,13.0,AP,0.41372726126555814,0.00319047923502424,100000
101,0.03,0.25,2.4,20.0,2.4/20,3,0.05,True,0.0,13.0,SL,0.3347352838114088,0.0022613438781593,100000
102,0.03,0.25,2.4,20.0,2.4/20,3,0.05,True,0.15,10.0,AP,0.3891063025502444,0.002653599028020833,100000
102,0.03,0.25,2.4,20.0,2.4/20,3,0.05,True,0.15,10.0,SL,0.3641926005355478,0.0021075444565716727,100000
103,0.03,0.25,2.4,20.0,2.4/20,3,0.05,True,0.15,13.0,AP,0.42505163953254144,0.0031743496194333812,100000
103,0.03,0.25,2.4,20.0,2.4/20,3,0.05,True,0.15,13.0,SL,0.3737659762476082,0.002384148151746176,100000
104,0.03,0.25,2.4,20.0,2.4/20,3,0.15,False,0.0,10.0,AP,0.3688325627840542,0.002447220272159769,100000
104,0.03,0.25,2.4,20.0,2.4/20,3,0.15,False,0.0,10.0,SL,0.3106755718866608,0.0018764148666630901,100000
